F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,Target
Europe,-67.3,191.49,Low,26997.6,-1.71,-358.86,-10.04,-114.21,44.88,185.28,442.86,27.31,1180.04,-1.64,1122.44,-29.23,168.87,314.32,4,3700.85,3,-2290.38,0.1,4441,157.24,126.81,-2322.58,46.82,4.54,12778.04,10.53,-1931.51,-1659.08,118.38
Europe,-75.06,221.88,Medium,29938.02,8.79,-275.37,-5.79,-83.04,63.63,431.85,-520.95,24.04,449.36,-9.06,451.58,-32.5,175.53,365.2,1,3116.46,7,51.32,1.1,4044.26,-126.12,163.08,-2891.4,40.34,3.22,16614.93,15.18,-1971.66,-1867.46,434.26
Europe,-69.92,108.36,High,15993.93,11.13,-260.37,-7.02,-112.32,40.35,876.39,-1702.98,20.57,1091.2,-8.68,239.05,-32.72,220.59,265.4,2,1342.57,3,-657.38,0,4085.62,-579.14,199.29,-2179.04,49.18,10.26,18359.37,13.17,-1689.92,-2301.78,303.93
Europe,-74.52,138.81,Medium,25879.11,5.91,-257.94,-7.76,-75.4,56.16,1088.43,1181.61,24.05,639.4,-23.94,147.87,-22.32,321.66,275.12,3,6318,3,-1908,30.56,4385.62,-1237.06,73.2,-775.24,52.82,17.44,17187.85,20.76,-1879.99,-1891.06,-8.93
Rest,-70.02,168.84,Very high,19243.11,9.66,-337.47,-4.06,-113.9,52.14,1685.19,-732.24,28.9,56.08,-18.66,-244.67,-34.04,77.97,393.02,2,3403.94,2,-1336.3,0.11,4281.78,-1472.38,196.14,-2851.2,31.9,2.3,19043.94,4.62,-1648.57,-1659.58,64.67
Europe,-76.62,241.65,Very high,22740.6,5.28,-262.41,-8.27,-54.22,55.56,943.41,-1513.08,17.94,1027.68,-0.78,-18.66,-19.61,95.67,309.7,2,10576.87,4,-2167.52,0.1,3686.58,-1137.24,134.64,-2293.46,58.48,6.84,17207,15.09,-1920.85,-1745.66,469.53
Europe,-71.98,200.82,Very low,18466.5,11.52,-281.64,-8.25,-73.57,43.41,411.24,-2117.13,28.78,623.04,-8.68,13.51,-21.29,237.81,367.68,1,2391.28,4,-2029.94,4.27,4082.22,171.34,212.52,-1457.72,43.46,4.3,23353.83,11.19,-1438.21,-2165.96,201.12
Rest,-61.34,144.06,Very high,25262.25,11.64,-30.39,-11.94,-111.63,80.79,476.76,-1290.27,25.72,1616.6,2.1,350.09,-26.15,118.65,236.58,2,5985.91,4,-1283.1,0.04,3973.06,-438.66,109.56,-1963.7,44.98,4.04,12168.31,15.48,-2240.96,-2076.22,217.35
USA,-67.56,122.28,High,18053.7,9.03,-298.98,-5.13,-72.79,65.79,2051.25,-1223.04,20.58,1418.28,-4.66,814.04,-26.42,81,228.7,6,1834.59,3,-1054.48,0.02,4371.22,-1060.04,273.63,-1782.28,34.16,3.44,18440.98,17.43,-2382.11,-1418.96,24.21
Rest,-68.04,119.97,Very high,33576.21,-11.1,-322.05,-5.48,-68.26,52.29,-231.84,-2105.64,24.15,1575.76,-2.8,289.46,-30.55,216.84,235.2,2,4774.79,5,-1085.46,0.01,4121.52,405.88,97.05,-2406.22,47.36,12,17427.93,11.37,-1143.59,-2478.38,216.98
Europe,-72.44,232.89,Very low,30973.71,-5.49,-393.24,-9.21,-90.76,60.48,1143.12,-1296.51,26.24,1680.34,-11.6,199.77,-31.99,249.24,338.12,5,3203.35,6,-1020.76,0.24,3576.4,-730.5,130.8,-1678.2,46.86,10.38,19091.36,4.77,-2025.28,-1633.94,-8.93
UK,-71.16,254.79,High,17197.74,2.1,-133.68,-4.03,-14.32,69.6,1229.94,-1434.24,24.23,30.58,-7.08,326.68,-27.16,188.79,572.78,2,3109.61,6,-421,0.07,5419.72,-219.4,305.97,-1488.68,53.66,1.36,19405.06,12.93,-1938.52,-1904.28,678.3
USA,-76.88,179.04,Very high,8475.27,21.87,-165.78,-5.52,-115.29,58.08,-1370.52,-2514.18,27.58,1326.26,-12.56,237.31,-25.88,237.96,235.72,4,2232.75,6,-246.02,2.08,3916.42,-327.42,94.65,-3189.16,47.84,5.04,19383.79,4.35,-1007.47,-2059.6,360.86
Europe,-62.04,195.39,Low,30478.35,8.61,-502.29,-9.95,-86.63,61.53,-276.36,-376.08,18.48,1868,-10.8,110.08,-28.72,278.73,220.32,5,7123.91,4,-979.04,198.59,2957.64,-651.18,40.47,-1894.32,46.34,13.88,11771.68,17.67,-1222.33,-1406.84,-8.93
Europe,-70.58,222.69,High,17652.78,4.59,-413.37,-10.15,-103.14,15.81,850.59,-919.59,14.66,1779.22,-3.32,290.34,-28.85,176.4,426.56,6,1961.04,2,-1167,39.27,4389.5,-2573.38,330.57,-2361.5,49.9,4.54,15138.23,4.11,-1836.68,-2224.06,281.96
Europe,-75.62,208.29,Very low,51163.98,13.59,-218.19,-11.79,-97.32,63.93,-665.55,-1727.97,24.38,807.2,-23.84,-34.11,-25.12,232.95,333.44,1,3092.21,3,-2597.42,0.15,4646.58,-665.78,126.96,-2819.72,51.28,3.4,14293.5,8.49,-1086.23,-2085.22,-8.93
UK,-65.64,378.63,High,23613.81,2.73,-489.09,-10.48,-110.64,63.09,531.45,-3371.22,21.27,2101.96,-0.54,-210.02,-32.29,110.85,348.74,4,561.5,1,-977.94,444.11,4432.16,-1897.04,72.9,-1338.74,49.32,13.16,18934.31,6.57,-1889.86,-2167.44,499.88
USA,-91.36,138.24,High,25494.45,0.69,-395.22,-5.91,-112.34,86.76,1393.14,-320.37,26.95,787.32,-8.34,55.08,-27.88,244.68,106.8,8,4297.65,2,-1409.14,2.06,3179.24,161.56,115.41,-2237.16,40.58,5.86,9705.24,16.32,-2084.37,-2500.72,-8.93
USA,-57.9,158.49,Low,21482.91,13.5,-266.22,-6.74,-74.48,52.65,-1277.73,-493.11,19.27,943.8,-9.26,60.04,-29.82,216.15,243.46,3,2023.04,3,-1331.6,0.02,4157.88,-1679.06,138.93,-3487.02,46.68,3.44,17253.6,8.34,-1573.32,-2871.04,95.04
Europe,-69.92,58.74,Very high,20177.97,14.43,-309.63,-8.62,-72.42,41.58,1130.82,-2585.16,22.64,-330.4,-5.32,311.94,-26.09,203.64,358.78,4,4678.94,5,-1964.66,0.24,4551.04,-617.56,117.27,-2073.48,50.42,6.48,6247.11,9.78,-2762.4,-2912.98,471.89
USA,-43.76,343.89,Medium,25264.02,0.12,-274.98,-8.96,-68.02,50.55,-815.91,-857.19,23.27,966.66,-4.44,757.13,-28.63,194.04,162.72,6,3247.98,5,-1280.34,15,3874.32,256.14,248.19,-2418.54,67.86,7.6,21051.17,18.27,-2187.38,-2251.74,17.91
Rest,-70.1,289.68,Very high,21289.26,8.25,-395.43,-13.71,-67.27,58.86,206.91,-1098.75,20.55,1492.96,-10.34,-320.7,-22.11,189.36,255.5,4,-3226,4,-1397.54,0.03,4633,-768.62,166.2,-1165.1,40.22,1.88,28397.73,2.07,-1448.31,-2178.1,197.43
UK,-66.76,252.21,High,19057.59,8.49,-439.65,-8.93,-94.53,55.8,-1698.03,-2360.67,26.29,9.2,-8.3,336.19,-23.75,107.85,281.3,0,1122.8,4,-1179.12,10.73,4328.8,-1547.06,7.53,-1320.66,45.62,9.92,16456.75,25.74,-2068.19,-1851.96,280.04
USA,-67.08,54.75,Medium,7774.02,-22.5,-305.43,-8.84,-170.1,59.4,-1038.81,-1369.32,23.41,536.92,-14.04,564.86,-24.45,327.24,291.86,3,-1296.12,4,-1423.92,3.13,1502.72,-319.58,6.63,-2371.94,54.48,7.5,15317.87,15.66,-2343.89,-2124.62,72.46
USA,-77.82,213.96,Very high,40065.33,-22.35,-150.54,-4.92,-86.25,50.37,615.24,-888.96,30.65,1189.58,-4.8,-24.03,-26.6,275.19,61.38,7,11780.48,2,-2150.18,6.14,1649.02,-1535.4,165.12,-2646.94,50.26,10.46,20035.1,13.05,-2205.39,-2650.76,-8.93
USA,-66.82,143.07,Very high,33457.95,2.7,-325.71,-15.53,-65.29,60.84,404.7,-1523.82,25.1,1096.44,-7.96,197.92,-27.71,338.94,308.82,4,4655.82,3,-1725.02,0.02,4158.58,-1193.54,276.81,-1416.9,51.14,13.34,14747.4,14.82,-2317.42,-2043.64,79.85
UK,-81.98,276.99,Low,31251.96,16.32,-202.92,-10.14,-4.73,64.23,1280.52,-1927.02,25.85,383.7,-8.96,786.69,-16.44,7.53,334.44,3,-1861.68,1,-1134.86,0.55,2876.46,-1329.3,151.08,-2493.66,37.98,13.48,23663.51,14.4,-2062.54,-1527.88,-8.93
Europe,-68.46,117.69,Very high,14015.55,5.19,-350.94,-10.16,-27.01,59.04,1692.42,-3505.26,23.54,1896.88,-5.42,205.56,-26.58,242.07,291.88,2,5457.92,3,-2265.7,7.76,3055.84,-557.7,-61.26,-1877.5,45.66,2.42,19016.05,8.73,-1973.29,-3107.22,504.17
UK,-63.98,-54.42,Very high,14406.57,-17.85,-310.71,-6.44,-50.8,65.4,-951.21,-2953.02,24.25,1384.24,3.84,71.73,-27.04,120.21,235.3,5,3677.46,4,-4072.42,0.06,4291.24,-1155.28,53.82,-2186.04,49.54,15.12,9941.61,7.02,-1912.22,-2512.08,729.51
USA,-84.16,-133.98,Low,15735.87,4.2,-232.92,-10.43,-65.42,54.24,886.02,80.91,21.47,662.5,-9.8,-34.39,-26.64,309.48,313.46,2,5809.15,6,-1817.66,1.3,4231.44,-284.98,78.99,-1860.22,56.42,2.24,27353.87,1.38,-1796.66,-1788.52,336.66
Europe,-84.74,316.05,Low,19906.53,17.97,-225.72,-5.13,-26.3,68.31,1385.07,-954.48,22.22,73.64,-17.32,-217.23,-25.11,257.79,197.42,6,4208.28,5,-1260.4,0.18,1093.68,-412.62,186.78,-1625.78,34.3,21.76,19951.29,10.83,-2429.71,-1070.26,-8.93
Europe,-75.86,433.74,Low,24847.62,4.71,-346.26,-6.15,-74.61,71.31,1043.34,-1417.26,25.03,882.06,-12.06,348.9,-20.78,33.39,293.34,6,-1161.94,9,-312.16,4.31,4079.46,-287.04,28.35,-1779.98,73.08,9.6,9833.54,1.26,-2554.87,-1382.76,420.82
USA,-72.06,77.52,Very high,35566.53,2.64,-367.14,-5.87,-37.93,42.69,1353,-2517.12,24.54,1047.32,-5.76,-158.17,-33.66,185.67,244.08,3,2461.05,6,-1768.2,2.57,3558.52,-162.36,237.87,-1517.4,48.78,14.58,11975.47,7.95,-1915.01,-1429.92,386.41
Europe,-71.02,164.28,Very low,24408.69,-10.92,-320.31,-4.13,-119.84,75.78,160.95,-2498.73,31.49,1042.52,-15.14,177.15,-25.44,298.89,294.22,4,3636.81,2,-765.54,0,3962.84,-942.82,75.24,-2324.7,47.44,2.7,16836.7,5.49,-2053.37,-2613.84,-8.93
UK,-73.84,301.53,Very high,14067.24,14.43,-256.53,-7.96,-47.5,83.43,-347.43,131.76,24.16,1360.16,-9.88,315.51,-29.18,319.8,213.94,5,5673.35,6,-1462.84,0.25,3989.76,-472.74,129.81,-2736.38,64.32,0.98,20332.26,3.75,-1796.83,-795.34,664.41
USA,-61.78,100.38,High,30978.69,5.88,-254.49,-9.05,-77.95,50.07,-1723.98,758.22,26.61,185.16,-12.02,578.18,-28.45,162.03,277.34,5,1518.74,5,-2330.7,434.42,4487.02,323.24,95.97,-1534.04,44.06,2.52,16786.54,3.81,-1693.35,-3537.66,191.02
USA,-73.88,323.94,High,25587.99,-5.85,-371.73,-6.04,-79.55,67.59,820.05,438.24,23.08,1860.88,-4.18,365.71,-22.18,303,303.88,8,5361.37,4,-632.9,0.02,2492.5,-185.78,91.41,-2084.92,42.74,4.26,19396.59,3.57,-1735.55,-1097.82,124.36
USA,-59.36,198.24,Very high,20441.1,28.35,-326.79,-7.53,-117.63,58.05,2169.12,-634.68,21.77,1562.1,-9.68,500.39,-22.93,230.01,265.48,2,3474.22,3,-2867.7,9.8,3122.6,-881.82,-49.71,-3849.18,55.88,3.74,14871.42,5.1,-1888.68,-2282.06,325.44
UK,-70.88,171.27,Very low,17767.53,24.81,-308.07,-8.38,-112.25,67.05,966.99,-1376.31,22.94,948.42,-20.66,265.51,-25.04,225.18,297.64,6,2875.9,4,-1858.78,35.17,3686.62,72.84,127.02,-2480.04,48.48,12.18,13981.32,20.76,-1807.16,-2673.72,-8.93
Rest,-69.3,207.6,High,28116.99,29.28,-280.14,-8.87,-71.46,64.32,-1289.76,-828.69,23.29,2311.12,-4.86,589.19,-25.4,311.67,310.74,6,7752.19,1,-1002.58,4.78,4111.36,214.16,158.91,-2133.4,30.22,6.74,20985.26,3.39,-2245.84,-584.36,21.9
UK,-78.62,252.87,Medium,38288.61,33.39,-284.25,-8.5,-93.81,71.97,705.15,-875.97,27.11,1608.32,6.46,117.77,-24.19,142.68,478.64,4,3435.49,4,-926.7,2.75,2895.84,-1618.04,161.76,-2514.44,32.36,6.4,18687.53,7.38,-1823.84,-1566.52,688.1
Rest,-69.1,95.82,Medium,19362,6.6,-432.54,-8.21,-69.22,47.79,-330.12,-1412.1,25.99,1762.08,-11.7,351.83,-31.42,345.45,298.8,0,2381.16,2,-765.1,0.17,3343.68,-171.84,-39.09,-2351.68,54.58,14.82,17712.01,15.09,-1706.84,-2031.86,42.43
Rest,-70.4,428.64,Very high,32679.27,18.36,-274.83,-8.67,-128.84,58.14,1007.7,-791.55,21.32,934.26,-10.3,181.58,-36.84,411.63,271.44,2,5045.34,3,-2080.32,0.52,4105.34,-959.7,221.82,-2972.22,50.98,5.52,28233.27,16.71,-1746.35,-2869.14,45.01
USA,-75.62,310.53,Very low,17313.27,13.83,-277.14,-6.22,-127.82,64.11,659.13,-1833.33,22.41,2062.62,-7.96,72.98,-26.76,99.09,76.48,2,5771.63,6,-1252.9,0.01,3788.06,-53.92,154.14,-2122.38,45.12,5.58,17640.93,9.03,-1180.69,-2464.92,202.56
USA,-85.22,278.04,High,29838.09,7.35,-518.79,-4.61,-137.39,66.45,1038.27,247.29,31.66,513.02,0.32,229.14,-26.11,120.27,90.78,4,5390.11,2,-1450.98,0.13,4715.16,-829.96,218.94,-2593.1,14.54,15.48,21558.32,6.51,-1889.95,-2626.02,236.69
USA,-70.32,-29.88,Medium,20845.38,-2.88,-294.06,-8.83,-78.15,42.36,-836.94,-651.36,29.21,1787.68,-0.72,97.85,-24.44,341.64,559.58,1,3610.8,4,-2959.68,0.01,3825.36,-1012.92,110.64,-1466.46,41.74,10.98,24023.41,4.32,-1666.58,-2439.02,451.64
UK,-76.72,80.76,Very low,23162.31,19.2,-249.54,-6.35,-44.07,57.33,-850.83,-765.06,25.52,-213.42,-11.08,133.94,-26.34,235.68,291.92,3,7621.05,5,-1688.9,0.03,4539.4,114.76,130.71,-2790.04,37.78,4.16,15390.34,15.39,-2566.62,-2699.84,-8.93
Europe,-62.48,228.69,High,9520.23,5.25,-327.06,-12.38,-131,56.13,1950.84,-1097.67,27.5,496.34,-15.64,89.27,-24.46,203.37,274.18,5,3665.09,5,-1281.66,0.31,3200.9,-854,103.11,-1741.32,40.68,0.76,18129.95,1.14,-2566.07,-1582.96,318.13
UK,-72.54,161.07,Very high,21272.28,4.26,-361.38,-9.99,-33.82,32.52,821.64,-164.16,27.91,1170.26,-5.78,255.4,-20.86,218.73,304.86,0,4730.31,7,-1475.8,0.19,5120.54,7.56,52.17,-2439.12,50.36,7.18,14788.22,22.35,-1729.37,-2332.98,713.81
UK,-76.52,-30.72,Very high,14943.72,0.36,-312.84,-10.6,-41.02,34.47,2.22,-1556.4,26.51,371,-5.54,552.9,-28.33,242.58,321.82,3,8064.11,7,-334.98,1.73,4162.34,-1163.44,98.28,-2211.44,46.94,0.88,17311.76,35.37,-2073.82,-1731.14,83.33
Rest,-83.22,221.37,Medium,25247.97,10.53,-187.26,-12.7,-65,46.62,-713.58,-2382.45,24.44,2029,-3.64,-22.14,-27.23,139.8,386.64,5,211.91,2,-2026.94,0.01,4363.74,953.42,169.71,-2208.12,48.46,6.12,17077.83,10.95,-1673.38,-1976.38,26.93
Rest,-57.16,373.8,High,10573.5,25.05,-270.57,-5.69,-47.65,63.09,-88.17,-737.46,23.88,1359.52,-2.38,484.86,-28.12,189.9,266.02,4,8661.31,5,-1376.28,4.47,3837.48,210.98,-43.5,-1802.44,35.7,7.14,14506.8,6.27,-2019.26,-1692.48,196.64
USA,-69.72,131.61,Very low,22528.59,5.52,-286.11,-6.1,-86.41,61.26,1275.75,-25.68,22.69,955.16,-13.18,113.85,-30.85,216.24,282,2,2816.16,1,-945.52,0.06,4705.06,97.58,266.07,-1998.08,49.5,8.66,16981.53,20.25,-1701.94,-2833.36,-8.93
Rest,-80.68,382.23,Very low,10868.1,4.47,-269.22,-14.1,-137.3,47.88,799.8,-1723.95,19.54,1233.72,-2.42,420.69,-25.42,138.99,299.7,5,5106.99,3,-2173.6,1.52,3632.02,-614.5,23.43,-1262.02,41.78,19.58,20173.06,9.3,-1493.21,-1780.42,16.98
Rest,-69.2,77.46,High,11747.1,27.93,-69.81,3.73,-62.85,29.07,1250.28,-1023.21,21.48,1059.86,-13.46,85.58,-25.86,113.79,290.8,4,1918.4,2,-2355.84,188.1,4826.86,-1028.98,137.64,-1698.62,62.44,9.5,18197.32,3.51,-2321.66,-1946.82,58.74
USA,-49.54,224.43,Very high,13789.98,20.7,-372.51,-7.69,-50.73,54.09,678.09,-3098.34,10.57,1010.04,-1.66,-63.95,-29.84,149.52,361.4,6,3507.59,4,-1219.74,0.04,3875.26,-788.04,-3.36,-2218.86,40.16,11.72,21078.73,4.14,-2255.01,-1960.72,338.38
USA,-76.58,236.16,High,28837.08,18.51,-294.03,-6.05,-13.97,62.04,709.05,-1838.49,20.34,876.94,-11.6,462.99,-31.04,128.49,279.58,4,6155.71,7,-999.32,7.78,4684.7,-445.52,229.23,-1928.42,46.04,10.84,21327.29,10.8,-1809.44,-2981.58,192.62
Rest,-59.98,202.89,Very high,30478.32,1.95,-253.26,-15.41,-71.52,54.33,933.3,-1471.86,24.62,1579.8,-11.34,201.81,-27.76,214.32,311.18,5,5631.97,2,-748.82,2.56,5933.74,-555.02,162.69,-1460.46,49.66,1.34,19567.87,18.06,-2262.28,-1867.4,-8.93
Europe,-66.68,180.45,Very low,29021.94,-15.21,-258.09,-2.28,-112.52,63.66,97.23,-1344.15,25.67,819.68,-13.58,220.71,-25.67,187.08,282.58,8,3683.76,1,-3228.42,0.53,4356.36,375.16,83.19,-1829.54,42.58,5.54,13384.34,13.23,-2065.44,-2875.06,-8.93
UK,-70.2,120.66,Low,17589.27,7.65,-185.73,-4.79,-75.66,39.12,-45.33,-2124.66,29.09,1068.26,-1.18,51.28,-29.76,242.1,285.18,4,6948.04,5,-1437.68,5.73,4324.28,-287.72,169.89,-2026,43.2,4.46,19901.74,4.14,-2064.67,-2290.84,615.4
Rest,-70.58,244.29,Low,25864.32,-1.17,-328.35,-2.27,-88.06,63.81,321.39,-3259.41,28.44,1156.54,-18.04,404.1,-26.33,64.77,321.62,5,4840.07,3,-286.46,0.08,5863.72,-706.74,205.92,-2026.48,52.82,2.54,15994.42,2.04,-1903.69,-1368.94,-8.93
Rest,-71.18,175.62,Low,17358.42,-25.77,-295.77,-11.36,-60.68,73.26,-824.31,-795.3,21.16,1647.1,-3.26,105.74,-25.42,93.84,292.8,5,-319.81,6,-2084.4,0.01,4550.94,-1007.66,130.8,-3026.68,45.12,22.36,14333.52,15.03,-1971.28,-1876.32,64.28
Europe,-69.78,280.83,Low,19372.8,-7.47,-273.6,-5.97,-105.93,39.24,1543.47,274.5,24.67,1133.96,-1.48,355.11,-25.89,41.37,427.72,3,3067.2,5,-3008.36,0,5034.22,-828.1,135.69,-2543.02,44.04,6.04,19179.29,13.41,-1360.31,-1376.26,353.8
USA,-69.46,345.36,Medium,14209.02,4.47,-191.55,-10.99,-98.79,59.4,508.59,-3254.19,29.37,-760.46,-1.68,511.73,-28.86,13.5,295.94,1,4658.77,4,-1250.48,0.01,3168.68,-578.46,63.33,-2419.54,44.28,6.9,15909.21,24.51,-1975.72,-2898.36,174.96
Europe,-60.72,241.59,Low,13230.21,18.24,-241.35,-4.7,-70.48,67.02,1881.03,-2101.59,18.45,983.18,-7.8,135.4,-27.59,197.91,338.52,7,4943.33,4,-1660.56,6.66,4868.52,-495.44,203.79,-3028.9,56.42,29.2,16591.27,10.86,-2683.85,-615.66,-8.93
Rest,-63.18,170.04,Very low,17072.94,42.33,-450.63,-5.17,-136.26,55.59,1377.48,-1218.12,24.73,1263.74,-15.9,-67.63,-28.01,288.36,257.76,4,2608.05,4,-2429.72,0.78,4029.4,-94.3,159.15,-2697.06,44.66,8.2,16329.72,13.62,-670.78,-2515.22,-8.93
UK,-70.18,186.45,Medium,19483.11,-13.62,-156.66,-10.55,-65.25,42.78,603.54,-609.03,23.85,1148.02,-3.3,-108.17,-23.65,212.79,308.28,5,4789.11,3,-1693.56,0.25,4275.82,357.16,243.66,-2307.02,44.52,2.46,22593.6,12.36,-1967.18,-1919.52,91.26
Europe,-66.3,129.51,Medium,22509.21,-27.24,-419.67,-8.87,-125.99,44.4,1713.45,-2530.71,24.48,1658.64,1.54,400.94,-32.71,304.41,368.8,4,6816.73,3,-1275.78,31.25,4440.14,-742.3,102.39,-3308.68,50.46,5.06,25430.61,11.61,-2230.74,-903.24,292.67
Rest,-83.38,387.75,Low,22919.25,13.08,-146.25,-6.08,-108.73,59.25,230.37,-771.6,25.53,1442,-14.18,18.32,-30.5,120.63,301.06,7,-2814.49,4,-1642.82,0.03,2846.14,-1494.78,149.46,-2552.06,44.1,3.5,17937.22,23.22,-1947.59,-2740.86,-8.93
UK,-74.44,-62.07,Low,20843.49,6.12,-267.87,-12.29,-93.11,63.51,1219.35,-1565.31,21.13,835.74,-0,-136.45,-27.45,319.98,276.2,3,6630.98,3,-2070.44,0.12,4333.32,-324.16,43.14,-2290.76,53.34,10.46,16297.33,16.98,-2169.51,-1895,101.56
Europe,-71.2,196.65,High,16890.42,19.26,-226.38,-7.89,-11.38,57.75,947.91,-1468.53,17.57,2333.58,-11.22,129.03,-26.26,237.06,287.02,2,9263.1,2,-2181.4,0.07,4104.66,90.04,199.68,-1937.76,44.22,11.58,19378,14.76,-2398.69,-1229.54,-8.93
UK,-75.7,194.1,High,22685.22,9.39,-317.34,-13.03,-53.8,58.89,1994.7,-1918.59,20.84,1278.22,-3.84,11.38,-19.06,236.4,255.58,4,3399.45,6,-1564,3.03,3137.54,-1419.04,-40.02,-1039.46,47.5,12.1,11535.28,27,-2209.84,-1443.48,105.15
Europe,-69.6,235.77,Low,22261.59,7.17,-140.58,-5.92,-43.26,51.72,756.9,-1682.7,23.96,303.3,-5.74,-297.95,-25.91,119.61,347.26,6,-1957.8,5,-752.12,10.64,4201.22,-1786.76,149.07,-2466.16,46.72,5.26,19099.89,7.98,-1964.27,-1687.7,158.89
USA,-68.16,164.58,Very low,15801.81,3.09,-185.19,-10.92,-77.96,28.71,1037.76,-267.78,18.58,862.2,-0.68,22.89,-27.94,202.62,176.62,1,9660.96,3,-2167.82,1.73,5020.72,-299.66,126.69,-2561.22,46.52,2.4,17783.15,7.92,-2602.89,-2427.82,237.17
UK,-72.64,169.38,Low,13763.97,26.22,-288.87,-12.24,-55.47,67.35,-444.18,-456.69,21.57,2301.76,-8.68,520.13,-23.17,265.29,253.56,3,3101.14,3,-83.48,0.75,3809.2,403.56,103.41,-1881.96,47.54,2.74,13390.47,3.18,-908.77,-1108.5,354.12
USA,-65.16,283.44,High,37852.92,-9.18,-459.12,-9.98,-41.38,50.85,1211.91,-1038.51,22.16,615.38,0.3,153.81,-35.12,194.04,376.16,5,6086.25,9,-2197.2,26.72,4954.88,-868.3,160.35,-2351.7,45.72,10.62,17574.37,10.41,-1753.38,-1939.84,401.89
UK,-65.94,282.78,Medium,12709.14,-9.33,-220.71,-4.6,-84.07,63.03,301.26,-196.56,26.36,435.04,0.2,231.3,-26.93,314.94,197.68,3,5058.12,1,-1015.2,144.53,5865.32,-527.66,205.86,-2340.02,50.16,10.56,21320.79,2.31,-1955.23,-2874.16,624.58
USA,-72.58,53.4,High,13093.44,6.78,-368.94,-12.54,-125.94,49.86,1312.02,-1551.75,21.06,1133.84,-5.56,-57.28,-27.18,221.82,390.96,0,1802.33,6,-1562.98,0.37,3204.36,-1716.6,132.06,-2835.78,45.8,2.64,17692.65,1.44,-1460.22,-1359.34,630.49
Europe,-74.28,26.1,High,22208.82,18.54,-238.77,-3.9,-86.48,24.45,-149.58,-2878.38,25.6,721.98,-8.8,567.03,-24.46,346.62,415.74,4,8747.13,1,-439.04,0.62,4030.7,-1011.7,220.41,-2258.48,49.18,2.58,19452.96,8.79,-1916.55,-2258.46,-8.93
Europe,-69.8,71.85,Medium,17345.1,20.55,-184.2,-12.09,-115.84,31.89,763.08,-482.58,22.24,1159.3,-9.26,213.46,-24.65,258.24,229.6,5,5041.07,6,-1916.82,12.03,4134.16,-930.26,122.25,-2687.46,91.38,6.32,17106.49,8.25,-2112.26,-1167.18,241.52
Europe,-74.8,115.95,Very low,18833.4,-1.68,-325.92,-6.87,-58.98,60.6,1667.94,-1934.7,23.58,427.68,-12.78,408.16,-26.67,139.32,278.66,4,10129.05,2,-1794.98,0.04,4189.4,-627.64,16.53,-1106.72,56.34,2.92,18781.09,16.47,-1970.23,-2560.28,-8.93
Europe,-66.34,243.45,Very low,25028.28,6.27,-401.7,-2.15,-79.41,63.81,1071.12,161.43,9.9,380.72,-4.08,363.43,-26.29,30.15,299.72,4,5758.12,4,-1439.04,0.86,3217.4,-857.2,-12.3,-1977.98,50.58,5,19173.66,6.84,-2697.04,-2002.64,99.18
UK,-74.46,182.91,Medium,20652.99,3.69,-287.85,-9.08,-105.91,55.59,576.57,-1585.59,16.92,291.18,-8.08,86.13,-30.35,343.41,413.22,5,2362.81,5,-1715.56,1.52,4146.02,-1304.3,20.64,-2182.42,59.58,4.7,12910.96,6.03,-2169.65,-1504.4,356.27
Rest,-71.8,159.27,Very low,30880.8,5.91,-250.38,-9.1,-57.66,59.34,-704.52,-1385.7,30.23,654.82,-5.56,112.75,-25.66,118.41,144.64,4,245.52,3,-3208.6,14.54,4836,7.24,152.85,-2793.94,47.38,2.62,15592.47,9.87,-1375.83,-2221.6,9.47
Europe,-61.48,260.43,High,31250.1,9.96,-260.7,-11.33,-75.85,51.06,-528.48,-2762.46,27.91,489.56,-12.22,443.95,-26.05,10.08,490.98,5,4251.67,3,-611.54,1.07,3546.46,-644.08,188.04,-2719.92,44.32,20.1,19021.64,19.38,-951.08,-1789.42,-8.93
USA,-74.68,286.17,Very high,32874.93,9.48,-351.36,-1.02,-105.06,54.54,-998.07,-2099.79,17.25,719.16,-10.22,245.21,-26.84,241.89,292.66,5,4416.75,3,-803.86,0,3871.22,-1416.8,153.57,-2320.52,47.68,9.26,14708.09,37.53,-2355.6,-2017.08,-8.93
Rest,-75.6,146.13,High,35883.87,38.7,-300.99,-8.39,-88.87,53.34,1301.76,23.34,20.54,1005.62,-11.26,543.02,-24.37,121.71,278.2,5,-547.41,3,-1097.44,0.2,4084.42,206.76,151.53,-2326.96,47.9,4.82,18172.9,11.13,-862.48,-2296.34,5.46
USA,-60.9,-124.05,High,14758.8,14.01,-314.76,-11.87,-105.21,53.88,-1205.52,-518.76,25.44,1694.16,-19.48,78.34,-33.91,168.39,106.96,3,10014.07,3,-1904.7,260.08,2402.54,-1507.12,147.33,-2463.28,48.94,6.66,17857.91,26.91,-1952.8,-1913.76,-8.93
